poem_id,title,author,poem_text,gold_symbols,gold_emotion_categories,annotation_method
poem_11269,Minor Poet,Bill Sweeney,"His last composed poem, ""Over My Head,"" 

 closes with the evening tide 
coming in as the light fails over Brighton Beach. 
In the years of The Great Plague, 

 he lived with his mother and brother 
and wrote the Elegies that remain unpublished, 
under the eaves in an unfinished room above 

 his mother's late-night television vigil. 
He wrote to a ghostly laugh-track 
in the night. Though he cut out and saved 

 lurid, five-color magazine pictures 
of The South Pacific, The Aegean; though 
he hoped for a winter crossing by steamer 

 until his final weakness set in, 
underneath he was a city boy 
whose poems drifted like a dinghy 

 in small inlets—Gravesend, Rockaway— 
out too far for safety, in sight of land.","mother, night, head, tide, beach, year, plague, brother","hope, joy, mortality",blind_objective_proxy_from_poem_text
poem_05452,Wild Poppies,Marion McCready,"And how do you survive? Your long throat, your red-rag-to-a-bull head?You rise heavy in the night, stars drinkingfrom your poppy neck.Your henna silks serenade me under the breadth of the Pyrenees.You move like an opera,open like sea anemones.You are earth’s first blood. How the birds love you,I envy your lipstick dress.You are urgent as airmail, animal red,Ash Wednesday crosses tattooed on your head.Your butterfly breath releases your scents, your secrets, bees blackening your mouthas your dirty red laundryall hangs out.","throat, bull, night, neck, silk, breadth, pyrenees, opera","despair, envy, freedom, hope, love, melancholy, resilience",blind_objective_proxy_from_poem_text
poem_12480,I Heard an Angel,William Blake,I heard an Angel singing When the day was springing Mercy Pity Peace Is the worlds release Thus he sung all day Over the new mown hay Till the sun went down And haycocks looked brown I heard a Devil curse Over the heath & the furze Mercy could be no more If there was nobody poor And pity no more could be If all were as happy as we At his curse the sun went down And the heavens gave a frown Down pourd the heavy rain Over the new reapd grain And Miseries increase Is Mercy Pity Peace,"sun, curse, hay, haycock, devil, heath, pourd, grain","freedom, joy, melancholy, peace, tenderness, transcendence",blind_objective_proxy_from_poem_text
poem_06414,An Anthology of Rain,Phillis Levin,"For this you may see no need,

You may think my aim

Dead set on something

Devoid of conceivable value:

An Anthology of  Rain,

A collection of voices

Telling someone somewhere

What it means to follow a drop

Traveling to its final place of rest.

But do consider this request

If you have pressed your nose

Of any shape against a window,

Odor of metal faint, persistent,

While a storm cast its cloak

Over the shoulder of every cloud

In sight. You are free to say

Whatever crosses your mind

When you look at the face of time

In the passing of one drop

Gathering speed, one drop

Chasing another, racing to reach

A fork in the path, lingering

Before making a detour to join

Another, fattening on the way

Until entering a rivulet

Running to the sill.

So please accept this invitation:

You are welcome to submit,

There is no limit to its limit,

Even the instructions are a breeze

As long as you include

Nothing about yourself

Except your name. Your address

Remains unnecessary, for the rain

Will find you — if you receive it

It receives you (whether or not

You contribute, a volume

Is sent). And when you lift

The collection you may hear,

By opening anywhere, a drop

And its story reappear

As air turns to water, water to air.","drop, collection, limit, air, water, need, devoid, value","anxiety, freedom, gratitude, melancholy, mortality, peace",blind_objective_proxy_from_poem_text
poem_11839,Sonnet of the Seven Chinese,Franco Fortini,"The Augsburg poet once said he had tacked 

an image of the Man of Doubt 

to the wall of his room. A Chinese print. 

The image asked: how ought one to act? 

I have a photo on my wall. Twenty years ago 

seven Chinese workers looked into my lens. 

They look wary or ironic or tense. 

They know I do not write for them. I know 

they didn’t live for me. Yet sometimes I feel 

I’m being asked for more candid words, 

more credible deeds, by their doubtfulness. 

In turn I ask their help in making visible 

the contradictions and identities among us. 

If there’s a point, it’s this.","image, wall, poet, room, print, photo, worker, lens","doubt, nostalgia",blind_objective_proxy_from_poem_text
poem_09632,"from Inscriptions, 16: ""The lamps are burning in the synagogue""",Charles Reznikoff,"“The lamps are burning in the synagogue,

in the houses of study, in dark alleys. . .”

This should be the place.

This is the way

the guide-book describes it. Excuse me, sir,

can you tell me

where Eli lives, Eli the katzev—

slaughterer of cattle and poultry?

One of my ancestors.

Reb Haskel? Reb Shimin? My grandfathers.

This is the discipline that withstood the siege

of every Jew;

these are the prayer-shawls that have proved

stronger than armor.

Let us begin then humbly. Not by asking:

Who is This you pray to? Name Him;

define Him. For the answer is:

we do not name Him.

Once out of a savage fear, perhaps;

now out of knowledge—of our ignorance.

Begin then humbly. Not by asking:

shall I live forever?

Hear again the dear dead greeting me gladly

as they used to

when we were all among the living?

For the answer is:

if you think we differ from all His other creatures,

say only if you like with the Pharisees, our teachers,

those who do not believe in an eternal life

will not have it.

In the morning I arise and match again

my plans against my cash.

I wonder now if the long morning-prayers

were an utter waste of an hour

weighing, as they do, hopes and anguish,

and sending the believer out into the street

with the sweet taste of the prayers on his lips.

How good to stop

and look out upon eternity a while;

and daily

in the morning, afternoon, and evening

be at ease in Zion.","morning, eli, answer, lamp, synagogue, house, study, alley","despair, doubt, faith, fear, hope, love, mortality, nostalgia, regret, resilience, transcendence, wonder",blind_objective_proxy_from_poem_text
poem_10031,In Memoriam Mae Noblitt,A. R. Ammons,"This is just a place:

we go around, distanced,

yearly in a star’s

atmosphere, turning

daily into and out of

direct light and

slanting through the

quadrant seasons: deep

space begins at our

heels, nearly rousing

us loose: we look up

or out so high, sight’s 

silk almost draws us away:

this is just a place:

currents worry themselves

coiled and free in airs

and oceans: water picks

up mineral shadow and

plasm into billions of

designs, frames: trees,

grains, bacteria: but

is love a reality we

made here ourselves—

and grief—did we design

that—or do these,

like currents, whine

in and out among us merely

as we arrive and go:

this is just a place:

the reality we agree with,

that agrees with us,

outbounding this, arrives

to touch, joining with

us from far away:

our home which defines

us is elsewhere but not

so far away we have 

forgotten it:

this is just a place.","current, reality, atmosphere, season, space, heel, silk, air","anxiety, fear, freedom, grief, hope, longing, love, nostalgia",blind_objective_proxy_from_poem_text
poem_01828,Incident,Natasha Trethewey,"We tell the story every year—

how we peered from the windows, shades drawn—

though nothing really happened,

the charred grass now green again.

 

We peered from the windows, shades drawn,

at the cross trussed like a Christmas tree,

the charred grass still green. Then

we darkened our rooms, lit the hurricane lamps.

 

At the cross trussed like a Christmas tree,

a few men gathered, white as angels in their gowns.

We darkened our rooms and lit hurricane lamps,

the wicks trembling in their fonts of oil.

 

It seemed the angels had gathered, white men in their gowns.

When they were done, they left quietly. No one came.

The wicks trembled all night in their fonts of oil;

by morning the flames had all dimmed.

 

When they were done, the men left quietly. No one came.

Nothing really happened.

By morning all the flames had dimmed.

We tell the story every year.","story, window, grass, cross, tree, room, lamp, gown","envy, fear, hope, melancholy, nostalgia, peace, transcendence",blind_objective_proxy_from_poem_text
poem_01791,Conduct,Samuel Greenberg,"By a peninsula the painter sat and Sketched the uneven valley groves. The apostle gave alms to the Meek. The volcano burst In fusive sulphur and hurled Rocks and ore into the air— Heaven’s sudden change at The drawing tempestuous, Darkening shade of dense clouded hues. The wanderer soon chose His spot of rest; they bore the Chosen hero upon their shoulders, Whom they strangely admired, as The beach-tide summer of people desired.","peninsula, painter, grove, apostle, alm, meek, volcano, sulphur","desire, longing, peace, transcendence",blind_objective_proxy_from_poem_text
poem_11907,“Some motionless conﬂict in the sky...”,Donald Revell,Some motionless conﬂict in the skyAs of Milton’s angels painted thereIn all their radiance and red maliceIt is a special happiness and universalSimply to know the names of colorsAnd to see them saidShe mixed the colors for house paintersThat was Binghamton Rochester IndianapolisI’ll take less luck if it means less stink she saidA special happiness When clouds contest with clouds In ﬁxed ﬂamboyanceGood versus Evil or beautiful cold hairGod loosed angels on us and they are the air,"cloud, motionless, skya, universalsimply, saidshe, color, house, rochester","joy, transcendence",blind_objective_proxy_from_poem_text
poem_03844,The River,Jim Harrison,"Yes, we'll gather by the river,

the beautiful, the beautiful river.

They say it runs by the throne of God.

This is where God invented fish.

Wherever, but then God's throne is as wide

as the universe. If you're attentive you'll

see the throne's borders in the stars. We're on this side

and when you get to the other side we don't know

what will happen if anything. If nothing happens

we won't know it, I said once. Is that cynical?

No, nothing is nothing, not upsetting just

nothing. Then again maybe we'll be cast

at the speed of light through the universe

to God's throne. His hair is bounteous.

All the 5,000 birds on earth were created there.

The firstborn cranes, herons, hawks, at the back

so as not to frighten the little ones.

Even now they remember this divine habitat.

Shall we gather at the river, this beautiful river?

We'll sing with the warblers perched on his eyelashes.","river, throne, universe, fish, border, star, speed, hair","doubt, faith, freedom, hope, nostalgia, transcendence",blind_objective_proxy_from_poem_text
poem_02495,Wet Casements,John Ashbery,"When Eduard Raban, coming along the passage, walked into the

open doorway, he saw that it was raining. It was not raining much.

 KAFKA, Wedding Preparations in the Country

The concept is interesting: to see, as though reflected

In streaming windowpanes, the look of others through

Their own eyes. A digest of their correct impressions of

Their self-analytical attitudes overlaid by your

Ghostly transparent face. You in falbalas

Of some distant but not too distant era, the cosmetics,

The shoes perfectly pointed, drifting (how long you

Have been drifting; how long I have too for that matter)

Like a bottle-imp toward a surface which can never be

 approached,

Never pierced through into the timeless energy of a present

Which would have its own opinions on these matters,

Are an epistemological snapshot of the processes

That first mentioned your name at some crowded cocktail

Party long ago, and someone (not the person addressed)

Overheard it and carried that name around in his wallet

For years as the wallet crumbled and bills slid in

And out of it. I want that information very much today,

Can't have it, and this makes me angry.

I shall use my anger to build a bridge like that

Of Avignon, on which people may dance for the feeling

Of dancing on a bridge. I shall at last see my complete face

Reflected not in the water but in the worn stone floor of my bridge.

I shall keep to myself.

I shall not repeat others' comments about me.","bridge, face, matter, wallet, raban, passage, doorway, kafka","anger, desire, envy, freedom, joy, longing, melancholy, mortality, regret",blind_objective_proxy_from_poem_text
poem_00509,Under a Full Moon at Midnight,Merrill Leffler,"This is a paean to relief and ecstasy.

A man's poem of course—the electric ah!

in the long stream arcing a rainbow

under the spotlight moon, a covenant between

mv body and the earth's.

 I think of Li Po smiling

silently on Green Mountain and can hear Rumi

drunk on rapture—drink my brother he calls to me,

think of the elephant loosening a great ebullient

stream that floats a river past your house and drop

turds so immense you could build a hut from them

along the shore to shelter your children.

 What release!

Think of your child pedaling under your hand

and of a sudden—it just happens—you let go

and he's off on his own, free for that first time—

the achieve of, the mastery of the child.

See the stalwart trees in their silence

the stones resting in the driveway, the cat curled asleep

on the front porch, the smear of blood

on the lion's mouth sitting over his fresh gazelle

the morning paper and its stories shouting

for attention. The plenitude of it all.

 And perhaps 

somewhere a friend is dreaming of me, or someone

a stranger is peeing ecstatic under the same moon.

A covenant then between us.

 True or not. It is no matter.","child, stream, moon, covenant, paean, relief, ecstasy, course","awe, doubt, envy, freedom, loneliness, nostalgia, peace, wonder",blind_objective_proxy_from_poem_text
poem_06511,Boil,Alicia Ostriker,"Boil over—it’s what the nerves do, 

Watch them seethe when stimulated,

Murmurs the man at the stove 

To the one at the fridge—

Watch that electric impulse that finally makes them 

Fume and fizz at either

Frayed end. If you could grasp a bundle

Of nerves in your fist like a jumper cable, and sense that

Python’s writhe, or a garden hose when the pressure’s 

High and it wilfully weaves about

Trying its best to get away from you—

You’d see how nothing is passive,

We’re all—I mean from our elephant sun, ejaculant 

Great-grandfather, cascading down

To weightless 

Unstoppable neutrinos

Leaving their silvery trace 

In vacuum chambers, in

Effervescent lines, twisted 

Madly in our madhouse jackets,

Rules, laws, which we are seething to break 

Though to rupture them might be of course to die,

Or, possibly, 

To change:

Boil, it’s what water

And everything else teaches.","nerve, murmur, stove, fridge, impulse, bundle, fist, cable",mortality,blind_objective_proxy_from_poem_text
poem_09072,The Imperfect Enjoyment,John Wilmot Earl of Rochester,"Naked she lay, clasped in my longing arms, I filled with love, and she all over charms; Both equally inspired with eager fire, Melting through kindness, flaming in desire. With arms, legs, lips close clinging to embrace, She clips me to her breast, and sucks me to her face. Her nimble tongue, love’s lesser lightning, played Within my mouth, and to my thoughts conveyed Swift orders that I should prepare to throw The all-dissolving thunderbolt below. My fluttering soul, sprung with the pointed kiss, Hangs hovering o’er her balmy brinks of bliss. But whilst her busy hand would guide that part Which should convey my soul up to her heart, In liquid raptures I dissolve all o’er, Melt into sperm, and spend at every pore. A touch from any part of her had done ’t: Her hand, her foot, her very look's a cunt. Smiling, she chides in a kind murmuring noise, And from her body wipes the clammy joys, When, with a thousand kisses wandering o’er My panting bosom, “Is there then no more?” She cries. “All this to love and rapture’s due; Must we not pay a debt to pleasure too?” But I, the most forlorn, lost man alive, To show my wished obedience vainly strive: I sigh, alas! and kiss, but cannot swive. Eager desires confound my first intent, Succeeding shame does more success prevent, And rage at last confirms me impotent. Ev’n her fair hand, which might bid heat return To frozen age, and make cold hermits burn, Applied to my dear cinder, warms no more Than fire to ashes could past flames restore. Trembling, confused, despairing, limber, dry, A wishing, weak, unmoving lump I lie. This dart of love, whose piercing point, oft tried, With virgin blood ten thousand maids has dyed, Which nature still directed with such art That it through every cunt reached every heart— Stiffly resolved, ’twould carelessly invade Woman or man, nor ought its fury stayed: Where’er it pierced, a cunt it found or made— Now languid lies in this unhappy hour, Shrunk up and sapless like a withered flower. Thou treacherous, base deserter of my flame, False to my passion, fatal to my fame, Through what mistaken magic dost thou prove So true to lewdness, so untrue to love? What oyster-cinder-beggar-common whore Didst thou e’er fail in all thy life before? When vice, disease, and scandal lead the way, With what officious haste doest thou obey! Like a rude, roaring hector in the streets Who scuffles, cuffs, and justles all he meets, But if his king or country claim his aid, The rakehell villain shrinks and hides his head; Ev’n so thy brutal valor is displayed, Breaks every stew, does each small whore invade, But when great Love the onset does command, Base recreant to thy prince, thou dar’st not stand. Worst part of me, and henceforth hated most, Through all the town a common fucking post, On whom each whore relieves her tingling cunt As hogs on gates do rub themselves and grunt, Mayst thou to ravenous chancres be a prey, Or in consuming weepings waste away; May strangury and stone thy days attend; May’st thou never piss, who didst refuse to spend When all my joys did on false thee depend. And may ten thousand abler pricks agree To do the wronged Corinna right for thee.","thou, cunt, hand, whore, arm, heart, rapture, o’er","anger, confusion, desire, despair, fear, grief, hope, joy, longing, love, mortality, nostalgia, peace, regret, shame, tenderness, transcendence",blind_objective_proxy_from_poem_text
poem_07837,First Poem for You,Kim Addonizio,"I like to touch your tattoos in complete

darkness, when I can’t see them. I’m sure of

where they are, know by heart the neat

lines of lightning pulsing just above

your nipple, can find, as if by instinct, the blue

swirls of water on your shoulder where a serpent

twists, facing a dragon. When I pull you

to me, taking you until we’re spent

and quiet on the sheets, I love to kiss

the pictures in your skin. They’ll last until

you’re seared to ashes; whatever persists

or turns to pain between us, they will still

be there. Such permanence is terrifying.

So I touch them in the dark; but touch them, trying.","tattoo, heart, lightning, nipple, instinct, swirl, water, shoulder","despair, love, melancholy, mortality, peace",blind_objective_proxy_from_poem_text
poem_09325,The Price is Right: A Torture Wheel of Fortune,Edward Dorn,"A B H O R E N C E S

November 13, 1984

The show did not start off

auspiciously, the contestants

were nervous and kept fiddling

with the wires attached

to their privates, the men

being especially anxious

over the question of balls.

The women were more querulous.

The first question, a medical subject,

was why had the anti-abortionists

not mentioned, let alone commented on,

the Baboon Heart transplant?

One terrified contestant guessed

it was because the moral majority’s

nervous concern with evolution

precluded their bringing it up.

That hopeful contestant’s face

reflected the malicious light

in the eyes of the host who

immediately threw the switch

A powerful surge shot through

the wires and both sexes screamed

and writhed, to the delight of

the vast viewership, estimated

at 100 million, all of whom,

presumably, were delighted

not to be on the show,

because not one in a million

knew the answer.","contestant, wire, private, ball, subject, anti, abortionist, transplant","anxiety, awe, confusion, doubt, fear, hope, joy, loneliness, wonder",blind_objective_proxy_from_poem_text
poem_00733,The Death of a Soldier,Wallace Stevens,"Life contracts and death is expected,

As in a season of autumn.

The soldier falls.

 

He does not become a three-days personage,

Imposing his separation,

Calling for pomp.

 

Death is absolute and without memorial,

As in a season of autumn,

When the wind stops,

 

When the wind stops and, over the heavens,

The clouds go, nevertheless,

In their direction.","season, wind, contract, soldier, personage, separation, pomp, cloud","melancholy, mortality, transcendence",blind_objective_proxy_from_poem_text
