id,label,type,frequency,author
symbol:eye,eye,symbol,1747,
symbol:hand,hand,symbol,1583,
symbol:heart,heart,symbol,1457,
symbol:body,body,symbol,1301,
symbol:light,light,symbol,1300,
symbol:water,water,symbol,1246,
symbol:child,child,symbol,1192,
symbol:tree,tree,symbol,1186,
symbol:mother,mother,symbol,1071,
symbol:sea,sea,symbol,992,
symbol:wind,wind,symbol,981,
symbol:death,death,symbol,850,
symbol:soul,soul,symbol,840,
symbol:boy,boy,symbol,790,
symbol:sky,sky,symbol,781,
symbol:night,night,symbol,717,
symbol:air,air,symbol,713,
symbol:head,head,symbol,703,
symbol:bird,bird,symbol,702,
symbol:room,room,symbol,700,
symbol:girl,girl,symbol,694,
symbol:dream,dream,symbol,685,
symbol:earth,earth,symbol,679,
symbol:friend,friend,symbol,675,
symbol:voice,voice,symbol,662,
symbol:door,door,symbol,648,
symbol:river,river,symbol,626,
symbol:city,city,symbol,609,
symbol:song,song,symbol,596,
symbol:street,street,symbol,559,
symbol:moon,moon,symbol,559,
symbol:snow,snow,symbol,555,
symbol:rain,rain,symbol,552,
symbol:flower,flower,symbol,546,
symbol:wall,wall,symbol,546,
symbol:dog,dog,symbol,524,
symbol:window,window,symbol,522,
symbol:stone,stone,symbol,502,
symbol:field,field,symbol,495,
symbol:foot,foot,symbol,487,
symbol:hair,hair,symbol,479,
symbol:blood,blood,symbol,476,
symbol:line,line,symbol,458,
symbol:arm,arm,symbol,457,
symbol:bed,bed,symbol,452,
symbol:shadow,shadow,symbol,446,
symbol:story,story,symbol,444,
symbol:road,road,symbol,437,
symbol:mouth,mouth,symbol,429,
symbol:cloud,cloud,symbol,420,
symbol:land,land,symbol,412,
symbol:grass,grass,symbol,409,
symbol:wood,wood,symbol,397,
symbol:car,car,symbol,391,
symbol:son,son,symbol,387,
symbol:wife,wife,symbol,383,
symbol:war,war,symbol,380,
symbol:wing,wing,symbol,373,
symbol:home,home,symbol,371,
symbol:brother,brother,symbol,361,
symbol:lip,lip,symbol,359,
symbol:music,music,symbol,357,
symbol:bone,bone,symbol,349,
symbol:space,space,symbol,346,
symbol:pain,pain,symbol,338,
symbol:king,king,symbol,334,
symbol:mountain,mountain,symbol,332,
symbol:horse,horse,symbol,329,
symbol:dust,dust,symbol,315,
symbol:moment,moment,symbol,307,
symbol:skin,skin,symbol,307,
symbol:glass,glass,symbol,301,
symbol:poet,poet,symbol,300,
symbol:town,town,symbol,297,
symbol:silence,silence,symbol,294,
symbol:wave,wave,symbol,293,
symbol:color,color,symbol,292,
symbol:angel,angel,symbol,291,
symbol:sister,sister,symbol,285,
symbol:memory,memory,symbol,280,
symbol:ground,ground,symbol,279,
symbol:finger,finger,symbol,275,
symbol:baby,baby,symbol,275,
symbol:fish,fish,symbol,271,
symbol:sleep,sleep,symbol,270,
symbol:tongue,tongue,symbol,267,
symbol:rock,rock,symbol,262,
symbol:floor,floor,symbol,262,
symbol:table,table,symbol,254,
symbol:tear,tear,symbol,250,
symbol:garden,garden,symbol,245,
symbol:country,country,symbol,241,
symbol:boat,boat,symbol,240,
symbol:letter,letter,symbol,240,
symbol:ship,ship,symbol,235,
symbol:sand,sand,symbol,235,
symbol:gold,gold,symbol,231,
symbol:page,page,symbol,224,
symbol:nature,nature,symbol,223,
symbol:image,image,symbol,218,
symbol:money,money,symbol,217,
symbol:grave,grave,symbol,216,
symbol:ice,ice,symbol,212,
symbol:pleasure,pleasure,symbol,209,
symbol:breast,breast,symbol,205,
symbol:sight,sight,symbol,205,
symbol:flesh,flesh,symbol,203,
symbol:paper,paper,symbol,198,
symbol:branch,branch,symbol,198,
symbol:forest,forest,symbol,196,
symbol:cat,cat,symbol,196,
symbol:shoe,shoe,symbol,193,
symbol:school,school,symbol,191,
symbol:shore,shore,symbol,189,
symbol:chair,chair,symbol,186,
symbol:husband,husband,symbol,186,
symbol:edge,edge,symbol,185,
symbol:shape,shape,symbol,184,
symbol:apple,apple,symbol,184,
symbol:youth,youth,symbol,183,
symbol:wine,wine,symbol,181,
symbol:fruit,fruit,symbol,181,
symbol:animal,animal,symbol,180,
symbol:flame,flame,symbol,177,
symbol:bell,bell,symbol,174,
symbol:brain,brain,symbol,173,
symbol:path,path,symbol,172,
symbol:corner,corner,symbol,165,
symbol:hole,hole,symbol,164,
symbol:ring,ring,symbol,164,
symbol:shirt,shirt,symbol,164,
symbol:prayer,prayer,symbol,161,
symbol:root,root,symbol,161,
symbol:heat,heat,symbol,160,
symbol:family,family,symbol,157,
symbol:soldier,soldier,symbol,156,
symbol:grace,grace,symbol,154,
symbol:mirror,mirror,symbol,153,
symbol:ghost,ghost,symbol,153,
symbol:leaf,leaf,symbol,149,
symbol:shade,shade,symbol,145,
symbol:doctor,doctor,symbol,145,
symbol:dawn,dawn,symbol,143,
symbol:course,course,symbol,142,
symbol:bread,bread,symbol,142,
symbol:food,food,symbol,141,
symbol:throat,throat,symbol,140,
symbol:roof,roof,symbol,140,
symbol:neck,neck,symbol,138,
symbol:island,island,symbol,138,
symbol:dress,dress,symbol,136,
symbol:bag,bag,symbol,136,
symbol:seed,seed,symbol,135,
symbol:fool,fool,symbol,135,
symbol:future,future,symbol,135,
symbol:praise,praise,symbol,135,
symbol:ball,ball,symbol,134,
symbol:storm,storm,symbol,134,
symbol:tide,tide,symbol,133,
symbol:shoulder,shoulder,symbol,133,
symbol:bar,bar,symbol,132,
symbol:knee,knee,symbol,131,
symbol:game,game,symbol,131,
symbol:blossom,blossom,symbol,130,
symbol:picture,picture,symbol,130,
symbol:crow,crow,symbol,129,
symbol:egg,egg,symbol,128,
symbol:map,map,symbol,127,
symbol:figure,figure,symbol,126,
symbol:sign,sign,symbol,126,
symbol:smell,smell,symbol,125,
symbol:kitchen,kitchen,symbol,124,
symbol:gift,gift,symbol,124,
symbol:knife,knife,symbol,124,
symbol:milk,milk,symbol,123,
symbol:snake,snake,symbol,123,
symbol:bus,bus,symbol,121,
symbol:creature,creature,symbol,121,
symbol:pool,pool,symbol,120,
symbol:passion,passion,symbol,120,
symbol:row,row,symbol,119,
symbol:machine,machine,symbol,119,
symbol:palm,palm,symbol,119,
symbol:yard,yard,symbol,118,
symbol:church,church,symbol,118,
symbol:store,store,symbol,117,
symbol:delight,delight,symbol,117,
symbol:coat,coat,symbol,115,
symbol:hat,hat,symbol,114,
symbol:weather,weather,symbol,114,
symbol:dance,dance,symbol,114,
symbol:mud,mud,symbol,112,
symbol:tea,tea,symbol,112,
symbol:nation,nation,symbol,112,
symbol:job,job,symbol,111,
symbol:wheel,wheel,symbol,111,
symbol:sorrow,sorrow,symbol,111,
symbol:bear,bear,symbol,110,
symbol:truck,truck,symbol,110,
symbol:loss,loss,symbol,110,
symbol:race,race,symbol,109,
symbol:sword,sword,symbol,108,
symbol:dirt,dirt,symbol,108,
symbol:bottle,bottle,symbol,107,
symbol:coffee,coffee,symbol,107,
symbol:nest,nest,symbol,104,
symbol:surface,surface,symbol,103,
symbol:oil,oil,symbol,103,
symbol:grandmother,grandmother,symbol,103,
symbol:fog,fog,symbol,101,
symbol:deer,deer,symbol,101,
symbol:wire,wire,symbol,100,
symbol:vision,vision,symbol,100,
symbol:sunlight,sunlight,symbol,100,
symbol:limb,limb,symbol,100,
symbol:cell,cell,symbol,99,
symbol:force,force,symbol,99,
symbol:spring,spring,symbol,98,
symbol:flight,flight,symbol,98,
symbol:flag,flag,symbol,97,
symbol:meadow,meadow,symbol,96,
symbol:village,village,symbol,96,
symbol:strength,strength,symbol,95,
symbol:parent,parent,symbol,95,
symbol:salt,salt,symbol,95,
symbol:trail,trail,symbol,94,
symbol:fire,fire,symbol,94,
symbol:fence,fence,symbol,94,
symbol:lamp,lamp,symbol,92,
symbol:tail,tail,symbol,92,
symbol:order,order,symbol,92,
symbol:party,party,symbol,92,
symbol:seat,seat,symbol,91,
symbol:owl,owl,symbol,91,
symbol:birth,birth,symbol,90,
symbol:meat,meat,symbol,89,
symbol:blade,blade,symbol,89,
symbol:flood,flood,symbol,89,
symbol:news,news,symbol,89,
symbol:guy,guy,symbol,88,
symbol:stair,stair,symbol,88,
symbol:prison,prison,symbol,87,
symbol:chance,chance,symbol,87,
symbol:class,class,symbol,87,
symbol:speech,speech,symbol,87,
symbol:view,view,symbol,86,
symbol:weight,weight,symbol,86,
symbol:grain,grain,symbol,86,
symbol:lion,lion,symbol,86,
symbol:worm,worm,symbol,86,
symbol:photograph,photograph,symbol,85,
symbol:oak,oak,symbol,85,
symbol:season,season,symbol,85,
symbol:year,year,symbol,85,
symbol:boot,boot,symbol,85,
symbol:movie,movie,symbol,85,
symbol:plant,plant,symbol,84,
symbol:needle,needle,symbol,84,
symbol:tune,tune,symbol,84,
symbol:hunger,hunger,symbol,84,
symbol:plate,plate,symbol,83,
symbol:pond,pond,symbol,83,
symbol:chain,chain,symbol,82,
symbol:phone,phone,symbol,82,
symbol:beast,beast,symbol,82,
symbol:hour,hour,symbol,81,
symbol:frame,frame,symbol,81,
symbol:clock,clock,symbol,81,
symbol:rope,rope,symbol,81,
symbol:station,station,symbol,80,
symbol:track,track,symbol,80,
symbol:tent,tent,symbol,80,
symbol:nose,nose,symbol,80,
symbol:absence,absence,symbol,80,
symbol:pride,pride,symbol,80,
symbol:mercy,mercy,symbol,78,
symbol:bull,bull,symbol,78,
symbol:dew,dew,symbol,78,
symbol:daddy,daddy,symbol,78,
symbol:curtain,curtain,symbol,78,
symbol:master,master,symbol,78,
symbol:universe,universe,symbol,78,
symbol:list,list,symbol,77,
symbol:toe,toe,symbol,77,
symbol:chest,chest,symbol,77,
symbol:candle,candle,symbol,76,
symbol:jar,jar,symbol,76,
symbol:porch,porch,symbol,76,
symbol:verse,verse,symbol,76,
symbol:landscape,landscape,symbol,75,
symbol:beam,beam,symbol,75,
symbol:plane,plane,symbol,75,
symbol:woe,woe,symbol,75,
symbol:sheet,sheet,symbol,75,
symbol:mist,mist,symbol,75,
symbol:card,card,symbol,74,
symbol:radio,radio,symbol,74,
symbol:dad,dad,symbol,74,
symbol:message,message,symbol,74,
symbol:teacher,teacher,symbol,74,
symbol:pen,pen,symbol,74,
symbol:pipe,pipe,symbol,73,
symbol:nail,nail,symbol,73,
symbol:whale,whale,symbol,73,
symbol:honey,honey,symbol,73,
symbol:grandfather,grandfather,symbol,73,
symbol:suit,suit,symbol,73,
symbol:folk,folk,symbol,72,
symbol:knight,knight,symbol,72,
symbol:pigeon,pigeon,symbol,72,
symbol:belly,belly,symbol,72,
symbol:thigh,thigh,symbol,72,
symbol:pig,pig,symbol,72,
symbol:bomb,bomb,symbol,72,
symbol:motion,motion,symbol,72,
symbol:pocket,pocket,symbol,72,
symbol:iron,iron,symbol,71,
symbol:rabbit,rabbit,symbol,71,
symbol:net,net,symbol,71,
symbol:ditch,ditch,symbol,71,
symbol:silver,silver,symbol,71,
symbol:band,band,symbol,70,
symbol:rage,rage,symbol,70,
symbol:enemy,enemy,symbol,70,
symbol:skull,skull,symbol,70,
symbol:block,block,symbol,70,
symbol:choice,choice,symbol,69,
symbol:battle,battle,symbol,69,
symbol:desk,desk,symbol,69,
symbol:stage,stage,symbol,69,
symbol:knowledge,knowledge,symbol,69,
symbol:bullet,bullet,symbol,69,
symbol:shop,shop,symbol,69,
symbol:trouble,trouble,symbol,68,
symbol:scent,scent,symbol,68,
symbol:monster,monster,symbol,68,
symbol:cake,cake,symbol,67,
symbol:uncle,uncle,symbol,67,
symbol:thro,thro,symbol,67,
symbol:sheep,sheep,symbol,67,
symbol:sunset,sunset,symbol,67,
symbol:clay,clay,symbol,66,
symbol:planet,planet,symbol,66,
symbol:muscle,muscle,symbol,66,
symbol:hip,hip,symbol,66,
symbol:lightning,lightning,symbol,66,
symbol:thunder,thunder,symbol,66,
symbol:touch,touch,symbol,66,
symbol:guest,guest,symbol,66,
symbol:event,event,symbol,65,
symbol:pile,pile,symbol,65,
symbol:height,height,symbol,65,
symbol:elephant,elephant,symbol,65,
symbol:fall,fall,symbol,65,
symbol:wrist,wrist,symbol,64,
symbol:student,student,symbol,64,
symbol:nurse,nurse,symbol,64,
symbol:cage,cage,symbol,63,
symbol:farm,farm,symbol,63,
symbol:beer,beer,symbol,63,
symbol:moonlight,moonlight,symbol,63,
symbol:failure,failure,symbol,62,
symbol:horizon,horizon,symbol,62,
symbol:fur,fur,symbol,62,
symbol:ladder,ladder,symbol,62,
symbol:dinner,dinner,symbol,62,
symbol:lace,lace,symbol,62,
symbol:hook,hook,symbol,62,
symbol:wisdom,wisdom,symbol,62,
symbol:chicken,chicken,symbol,61,
symbol:measure,measure,symbol,61,
symbol:company,company,symbol,60,
symbol:crime,crime,symbol,60,
symbol:text,text,symbol,60,
symbol:hotel,hotel,symbol,60,
symbol:sadness,sadness,symbol,59,
symbol:bedroom,bedroom,symbol,59,
symbol:laughter,laughter,symbol,59,
symbol:statue,statue,symbol,59,
symbol:date,date,symbol,59,
symbol:act,act,symbol,59,
symbol:soil,soil,symbol,58,
symbol:tale,tale,symbol,58,
symbol:hero,hero,symbol,58,
symbol:thumb,thumb,symbol,57,
symbol:human,human,symbol,57,
symbol:deed,deed,symbol,57,
symbol:artist,artist,symbol,57,
symbol:office,office,symbol,57,
symbol:lane,lane,symbol,57,
symbol:reader,reader,symbol,56,
symbol:ash,ash,symbol,56,
symbol:butterfly,butterfly,symbol,56,
symbol:corn,corn,symbol,56,
symbol:bat,bat,symbol,56,
symbol:ink,ink,symbol,56,
symbol:economy,economy,symbol,56,
symbol:corpse,corpse,symbol,56,
symbol:fortune,fortune,symbol,56,
symbol:charm,charm,symbol,56,
symbol:camera,camera,symbol,55,
symbol:grape,grape,symbol,55,
symbol:length,length,symbol,55,
symbol:rule,rule,symbol,55,
symbol:basket,basket,symbol,55,
symbol:size,size,symbol,55,
symbol:arrow,arrow,symbol,55,
symbol:piano,piano,symbol,55,
symbol:dish,dish,symbol,55,
symbol:stem,stem,symbol,55,
symbol:cow,cow,symbol,54,
symbol:court,court,symbol,54,
symbol:spoon,spoon,symbol,54,
symbol:solitude,solitude,symbol,54,
symbol:lap,lap,symbol,53,
symbol:silk,silk,symbol,53,
symbol:journey,journey,symbol,53,
symbol:scale,scale,symbol,53,
symbol:bride,bride,symbol,53,
symbol:sparrow,sparrow,symbol,53,
symbol:library,library,symbol,53,
symbol:doll,doll,symbol,52,
symbol:terror,terror,symbol,52,
symbol:frost,frost,symbol,52,
symbol:magic,magic,symbol,52,
symbol:devil,devil,symbol,52,
symbol:marble,marble,symbol,52,
symbol:police,police,symbol,52,
symbol:potato,potato,symbol,52,
symbol:trick,trick,symbol,52,
symbol:pattern,pattern,symbol,51,
symbol:trunk,trunk,symbol,51,
symbol:frog,frog,symbol,51,
symbol:promise,promise,symbol,51,
symbol:sail,sail,symbol,51,
symbol:newspaper,newspaper,symbol,51,
symbol:mile,mile,symbol,51,
symbol:pill,pill,symbol,51,
symbol:source,source,symbol,50,
symbol:tip,tip,symbol,50,
symbol:glove,glove,symbol,50,
symbol:duck,duck,symbol,50,
symbol:knot,knot,symbol,50,
symbol:border,border,symbol,50,
symbol:sigh,sigh,symbol,50,
symbol:lung,lung,symbol,50,
symbol:theme,theme,symbol,50,
symbol:mystery,mystery,symbol,50,
symbol:taste,taste,symbol,49,
symbol:curve,curve,symbol,49,
symbol:guard,guard,symbol,49,
symbol:metal,metal,symbol,49,
symbol:insect,insect,symbol,49,
symbol:bucket,bucket,symbol,49,
symbol:summer,summer,symbol,49,
symbol:throne,throne,symbol,48,
symbol:nerve,nerve,symbol,48,
symbol:cream,cream,symbol,48,
symbol:pity,pity,symbol,48,
symbol:drift,drift,symbol,48,
symbol:stain,stain,symbol,48,
symbol:vessel,vessel,symbol,48,
symbol:couple,couple,symbol,48,
symbol:shepherd,shepherd,symbol,48,
symbol:blessing,blessing,symbol,48,
symbol:wealth,wealth,symbol,48,
symbol:shelf,shelf,symbol,48,
symbol:purpose,purpose,symbol,48,
symbol:flock,flock,symbol,48,
symbol:sake,sake,symbol,48,
symbol:spine,spine,symbol,48,
symbol:miracle,miracle,symbol,48,
symbol:marriage,marriage,symbol,47,
symbol:culture,culture,symbol,47,
symbol:version,version,symbol,47,
symbol:gaze,gaze,symbol,47,
symbol:depth,depth,symbol,47,
symbol:deck,deck,symbol,47,
symbol:lack,lack,symbol,47,
symbol:mom,mom,symbol,47,
symbol:tire,tire,symbol,47,
symbol:tank,tank,symbol,46,
symbol:feast,feast,symbol,46,
symbol:host,host,symbol,46,
symbol:goodbye,goodbye,symbol,46,
symbol:wheat,wheat,symbol,46,
symbol:cop,cop,symbol,46,
symbol:mood,mood,symbol,46,
symbol:treasure,treasure,symbol,46,
symbol:dove,dove,symbol,46,
symbol:cherry,cherry,symbol,45,
symbol:gloom,gloom,symbol,45,
symbol:army,army,symbol,45,
symbol:sack,sack,symbol,45,
symbol:creek,creek,symbol,45,
symbol:dancer,dancer,symbol,45,
symbol:painter,painter,symbol,45,
symbol:sweat,sweat,symbol,45,
symbol:action,action,symbol,45,
symbol:brick,brick,symbol,44,
symbol:farmer,farmer,symbol,44,
symbol:servant,servant,symbol,44,
symbol:cord,cord,symbol,44,
symbol:flake,flake,symbol,44,
symbol:hospital,hospital,symbol,44,
symbol:scar,scar,symbol,44,
symbol:metaphor,metaphor,symbol,44,
symbol:danger,danger,symbol,43,
symbol:market,market,symbol,43,
symbol:myth,myth,symbol,43,
symbol:rice,rice,symbol,43,
symbol:toy,toy,symbol,43,
symbol:kingdom,kingdom,symbol,43,
symbol:vale,vale,symbol,43,
symbol:steel,steel,symbol,43,
symbol:jacket,jacket,symbol,43,
symbol:drone,drone,symbol,43,
symbol:worker,worker,symbol,43,
symbol:drawer,drawer,symbol,43,
symbol:layer,layer,symbol,43,
symbol:tie,tie,symbol,43,
symbol:habit,habit,symbol,43,
symbol:highway,highway,symbol,42,
symbol:ruin,ruin,symbol,42,
symbol:waist,waist,symbol,42,
symbol:witness,witness,symbol,42,
symbol:speed,speed,symbol,42,
symbol:blanket,blanket,symbol,42,
symbol:element,element,symbol,42,
symbol:ease,ease,symbol,42,
symbol:gas,gas,symbol,42,
symbol:butter,butter,symbol,41,
symbol:beak,beak,symbol,41,
symbol:cap,cap,symbol,41,
symbol:coal,coal,symbol,41,
symbol:engine,engine,symbol,41,
symbol:ankle,ankle,symbol,41,
symbol:tool,tool,symbol,41,
symbol:phrase,phrase,symbol,41,
symbol:camp,camp,symbol,41,
symbol:brush,brush,symbol,41,
symbol:whisper,whisper,symbol,41,
symbol:price,price,symbol,41,
symbol:guitar,guitar,symbol,41,
symbol:wedding,wedding,symbol,41,
symbol:lunch,lunch,symbol,40,
symbol:service,service,symbol,40,
symbol:stalk,stalk,symbol,40,
symbol:pie,pie,symbol,40,
symbol:veil,veil,symbol,40,
symbol:ledge,ledge,symbol,40,
symbol:meal,meal,symbol,40,
symbol:bean,bean,symbol,40,
symbol:cart,cart,symbol,40,
symbol:rail,rail,symbol,40,
symbol:comfort,comfort,symbol,40,
symbol:shift,shift,symbol,40,
symbol:claw,claw,symbol,40,
symbol:bower,bower,symbol,40,
symbol:tape,tape,symbol,39,
symbol:plot,plot,symbol,39,
symbol:writer,writer,symbol,39,
symbol:fox,fox,symbol,39,
symbol:captain,captain,symbol,39,
symbol:theory,theory,symbol,39,
symbol:pole,pole,symbol,39,
symbol:rib,rib,symbol,39,
symbol:boss,boss,symbol,39,
symbol:character,character,symbol,39,
symbol:doom,doom,symbol,39,
symbol:tribe,tribe,symbol,39,
symbol:birthday,birthday,symbol,39,
symbol:cabin,cabin,symbol,39,
symbol:drum,drum,symbol,39,
symbol:balloon,balloon,symbol,39,
symbol:lad,lad,symbol,39,
symbol:serpent,serpent,symbol,39,
symbol:print,print,symbol,39,
symbol:error,error,symbol,38,
symbol:coin,coin,symbol,38,
symbol:couch,couch,symbol,38,
symbol:poison,poison,symbol,38,
symbol:breakfast,breakfast,symbol,38,
symbol:backyard,backyard,symbol,38,
symbol:mistake,mistake,symbol,38,
symbol:tunnel,tunnel,symbol,38,
symbol:belief,belief,symbol,38,
symbol:blast,blast,symbol,38,
symbol:rush,rush,symbol,38,
symbol:lesson,lesson,symbol,38,
symbol:plum,plum,symbol,38,
symbol:robe,robe,symbol,38,
symbol:rainbow,rainbow,symbol,38,
symbol:alley,alley,symbol,37,
symbol:glance,glance,symbol,37,
symbol:courage,courage,symbol,37,
symbol:pant,pant,symbol,37,
symbol:sugar,sugar,symbol,37,
symbol:liberty,liberty,symbol,37,
symbol:fellow,fellow,symbol,37,
symbol:emperor,emperor,symbol,37,
symbol:duty,duty,symbol,37,
symbol:process,process,symbol,37,
symbol:science,science,symbol,37,
symbol:perfume,perfume,symbol,36,
symbol:bug,bug,symbol,36,
symbol:daylight,daylight,symbol,36,
symbol:stomach,stomach,symbol,36,
symbol:singer,singer,symbol,36,
symbol:fury,fury,symbol,36,
symbol:pulse,pulse,symbol,36,
symbol:roll,roll,symbol,36,
symbol:male,male,symbol,36,
symbol:colour,colour,symbol,36,
symbol:meeting,meeting,symbol,36,
symbol:dot,dot,symbol,36,
symbol:novel,novel,symbol,36,
symbol:maple,maple,symbol,36,
symbol:purse,purse,symbol,36,
symbol:author,author,symbol,36,
symbol:term,term,symbol,36,
symbol:bench,bench,symbol,36,
symbol:steam,steam,symbol,36,
symbol:ceiling,ceiling,symbol,36,
symbol:sandwich,sandwich,symbol,36,
symbol:pace,pace,symbol,35,
symbol:passage,passage,symbol,35,
symbol:bosom,bosom,symbol,35,
symbol:friendship,friendship,symbol,35,
symbol:style,style,symbol,35,
symbol:accident,accident,symbol,35,
symbol:tomato,tomato,symbol,35,
symbol:trace,trace,symbol,35,
symbol:boulder,boulder,symbol,35,
symbol:trap,trap,symbol,35,
symbol:mate,mate,symbol,35,
symbol:winter,winter,symbol,35,
symbol:film,film,symbol,35,
symbol:mistress,mistress,symbol,35,
symbol:waste,waste,symbol,35,
symbol:spark,spark,symbol,35,
symbol:hammer,hammer,symbol,34,
symbol:bath,bath,symbol,34,
symbol:cattle,cattle,symbol,34,
symbol:magazine,magazine,symbol,34,
symbol:goddess,goddess,symbol,34,
symbol:mankind,mankind,symbol,34,
symbol:pin,pin,symbol,34,
symbol:elm,elm,symbol,34,
symbol:stump,stump,symbol,34,
symbol:disease,disease,symbol,34,
symbol:role,role,symbol,34,
symbol:energy,energy,symbol,34,
symbol:moor,moor,symbol,34,
symbol:diamond,diamond,symbol,34,
symbol:trip,trip,symbol,34,
symbol:poverty,poverty,symbol,34,
symbol:morrow,morrow,symbol,34,
symbol:player,player,symbol,34,
symbol:heap,heap,symbol,34,
symbol:palace,palace,symbol,34,
symbol:chimney,chimney,symbol,34,
symbol:tap,tap,symbol,34,
symbol:isle,isle,symbol,34,
symbol:destiny,destiny,symbol,33,
symbol:vice,vice,symbol,33,
symbol:pier,pier,symbol,33,
symbol:slide,slide,symbol,33,
symbol:trench,trench,symbol,33,
symbol:violet,violet,symbol,33,
symbol:chime,chime,symbol,33,
symbol:driver,driver,symbol,33,
symbol:foam,foam,symbol,33,
symbol:swamp,swamp,symbol,33,
symbol:exile,exile,symbol,33,
symbol:jazz,jazz,symbol,33,
symbol:section,section,symbol,33,
symbol:aunt,aunt,symbol,33,
symbol:gap,gap,symbol,32,
symbol:intent,intent,symbol,32,
symbol:bruise,bruise,symbol,32,
symbol:origin,origin,symbol,32,
symbol:ecstasy,ecstasy,symbol,32,
symbol:relief,relief,symbol,32,
symbol:skill,skill,symbol,32,
symbol:torch,torch,symbol,32,
symbol:twilight,twilight,symbol,32,
symbol:value,value,symbol,32,
symbol:alarm,alarm,symbol,32,
symbol:region,region,symbol,32,
symbol:fever,fever,symbol,32,
symbol:straw,straw,symbol,32,
symbol:boom,boom,symbol,32,
symbol:hedge,hedge,symbol,32,
symbol:traffic,traffic,symbol,32,
symbol:surprise,surprise,symbol,32,
symbol:partner,partner,symbol,32,
symbol:officer,officer,symbol,32,
symbol:log,log,symbol,31,
symbol:sailor,sailor,symbol,31,
symbol:snail,snail,symbol,31,
symbol:birch,birch,symbol,31,
symbol:grade,grade,symbol,31,
symbol:dread,dread,symbol,31,
symbol:mail,mail,symbol,31,
symbol:crew,crew,symbol,31,
symbol:evil,evil,symbol,31,
symbol:pit,pit,symbol,31,
symbol:doorway,doorway,symbol,31,
symbol:lass,lass,symbol,31,
symbol:roar,roar,symbol,31,
symbol:maker,maker,symbol,31,
symbol:disaster,disaster,symbol,31,
symbol:realm,realm,symbol,31,
symbol:cab,cab,symbol,31,
symbol:portrait,portrait,symbol,31,
symbol:woodstove,woodstove,symbol,30,
symbol:onion,onion,symbol,30,
symbol:seam,seam,symbol,30,
symbol:tile,tile,symbol,30,
symbol:sage,sage,symbol,30,
symbol:rim,rim,symbol,30,
symbol:furniture,furniture,symbol,30,
