source_symbol,target_emotion,poem_id,title,author,symbol_token,emotion_token,token_distance,line_distance,symbol_line,emotion_line,context_snippet,manual_label,objective_reason,annotation_method
tern,freedom,poem_10136,from Beachy Head,Charlotte Smith,188,180,8,0,1,1,"thy rough hollows echo to the voice Of the gray choughs, and ever restless daws, With clamor, not unlike the chiding hounds, While the lone shepherd, and his baying",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
game,tenderness,poem_01689,A Bed above the Abyss: Amnesiac Notebook,Andrew Allport,271,269,2,0,65,65,"mind.” Only the kingdom of living names was missing there—bank, flagstone, sofa remained, but not the blur at the feeder, the undersea creature",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
hope,hope,poem_10094,On the Subject of Doctors,James Tate,134,134,0,0,33,33,"with the doctors, who are dying.",0,symbol and emotion are identical,objective_proxy_rules_from_context_without_semantic_guessing
white petal,freedom,poem_09696,Mummy of a Lady Named Jemutesonekh,Thomas James,460,465,5,2,87,89,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
river,confusion,poem_00421,When Black Men Drown Their Daughters,Patricia Smith,81,84,3,0,15,15,"them unreadable, and the overwhelm easily disappears the men, their wiry heads glistening, then gulped. All that’s left is the fathers’ last wisdom, soaked",0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
plum,transcendence,poem_04488,Crepuscule with Paula,Charles North,244,235,9,0,33,33,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
nest,fear,poem_08711,The Yellowhammer's Nest,John Clare,32,40,8,0,7,7,"us stoop And seek its nest—the brook we need not dread, 'Tis scarcely deep enough a bee to drown, So it sings harmless o'er its pebbly bed —Ay here",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
salute,mortality,poem_12718,Morituri Salutamus: Poem for the Fiftieth Anniversary of the Class of 1825 in Bowdoin College,Henry Wadsworth Longfellow,598,596,2,0,3,3,Ascends the ladder leaning on the cloud! As ancient Priam at the Scæan gate Sat on the walls of Troy in regal state,0,context does not show the symbol clearly,objective_proxy_rules_from_context_without_semantic_guessing
balm,loneliness,poem_13126,Portrait of a Figure near Water,Jane Kenyon,136,130,6,2,37,35,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
poet,love,poem_13560,Careless Perfection,Daniel Halpern,21,29,8,0,7,7,"admired"" Tao Yuanming, a poet of nature who wrote a single love poem, a poem thought by Chinese dilettantes to be the one ""blemish in a white jade."" Can",1,within 10-token window with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
alan,wonder,poem_00431,"Alan, American Dreamer",Jack Agüeros,27,28,1,0,11,11,"by day. Alan dreams of a big deal, Of opening a classy poolhall. Has a four million dollar deal Which will probably",1,close relation with visible symbol evidence,objective_proxy_rules_from_context_without_semantic_guessing
egg,melancholy,poem_07614,Evening,Gail Mazur,193,192,1,0,49,49,,0,missing context snippet,objective_proxy_rules_from_context_without_semantic_guessing
